acronym_1;hourS;minS;hourE;minE;currentC;day;roomID;type_1;nameR
AL29179;12;0;13;0;108;2;2448131365113;TEORICA;A1
AL29179;12;30;13;30;108;4;2448131365113;TEORICA;A1
AL29179;10;30;11;30;108;6;2448131365113;TEORICA;A1
CDI51179;14;0;15;0;204;2;2448131365113;TEORICA;A1
CDI51179;14;30;16;0;204;4;2448131365113;TEORICA;A1
CDI51179;14;0;15;30;204;6;2448131365113;TEORICA;A1
CDI54179;13;0;14;0;119;2;2448131365113;TEORICA;A1
CDI54179;11;30;12;30;119;4;2448131365113;TEORICA;A1
CDI54179;11;30;12;30;119;6;2448131365113;TEORICA;A1
FP179;8;30;10;0;135;4;2448131365113;TEORICA;A1
FP179;10;0;11;30;124;4;2448131365113;TEORICA;A1
FP179;8;30;10;0;124;6;2448131365113;TEORICA;A1
FP179;8;30;10;0;124;6;2448131365113;TEORICA;A1
Ges11179;15;0;16;0;143;2;2448131365113;TEORICA;A1
Ges11179;16;30;17;30;104;2;2448131365113;TEORICA;A1
IAC3179;9;0;10;30;121;2;2448131365113;TEORICA;A1
IAC3179;9;0;10;30;121;5;2448131365113;TEORICA;A1
IEI7179;9;0;10;30;104;3;2448131365113;TEORICA;A1
M9;15;30;17;0;95;3;2448131365113;TEORICA;A1
MC9179;15;30;17;0;94;6;2448131365113;TEORICA;A1
MC9179;17;0;18;30;58;6;2448131365113;TEORICA;A1
MO3179;16;0;17;30;118;4;2448131365113;TEORICA;A1
PEst31179;14;0;15;30;225;3;2448131365113;TEORICA;A1
PEst31179;14;30;16;0;225;5;2448131365113;TEORICA;A1
PO17179;16;0;17;30;129;5;2448131365113;TEORICA;A1
PO17179;17;30;19;0;66;3;2448131365113;TEORICA;A1
SIRS179;11;0;12;30;47;5;2448131365113;TEORICA;A1
ACED21179;14;0;15;0;245;2;2448131365117;TEORICA;A2
ACED21179;14;30;16;0;245;4;2448131365117;TEORICA;A2
ACED21179;14;0;15;30;245;6;2448131365117;TEORICA;A2
AL29179;13;0;14;0;186;2;2448131365117;TEORICA;A2
AL29179;11;30;12;30;186;4;2448131365117;TEORICA;A2
AL29179;11;30;12;30;186;6;2448131365117;TEORICA;A2
CDI54179;12;0;13;0;197;2;2448131365117;TEORICA;A2
CDI54179;12;30;13;30;197;4;2448131365117;TEORICA;A2
CDI54179;12;30;13;30;197;6;2448131365117;TEORICA;A2
EEM5179;8;30;10;0;111;2;2448131365117;TEORICA;A2
EEM5179;8;30;10;0;111;6;2448131365117;TEORICA;A2
EEQ5179;8;30;10;0;85;4;2448131365117;TEORICA;A2
EEQ5179;10;0;11;30;85;6;2448131365117;TEORICA;A2
EMD;10;30;11;30;73;3;2448131365117;TEORICA;A2
EO22179;15;0;16;30;116;2;2448131365117;TEORICA;A2
EO22179;16;0;17;30;116;4;2448131365117;TEORICA;A2
Ges11179;14;30;15;30;143;5;2448131365117;TEORICA;A2
MO3179;15;30;17;0;118;6;2448131365117;TEORICA;A2
PAnt9179;11;30;13;0;91;5;2448131365117;TEORICA;A2
PO17179;16;0;17;30;129;3;2448131365117;TEORICA;A2
SD9179;11;30;13;0;130;3;2448131365117;TEORICA;A2
SD9179;10;0;11;30;130;5;2448131365117;TEORICA;A2
SO7179;14;30;16;0;82;3;2448131365117;TEORICA;A2
SO7179;16;0;17;30;82;5;2448131365117;TEORICA;A2
SO7179;17;30;19;0;145;3;2448131365117;TEORICA;A2
SO7179;17;30;19;0;145;5;2448131365117;TEORICA;A2
AGI17;14;0;15;30;31;6;2448131365119;TEORICA;0 - 9
EO23179;19;0;20;0;40;4;2448131365119;PROBLEMS;0 - 9
FP179;15;30;17;0;31;3;2448131365119;PROBLEMS;0 - 9
GCA5179;11;0;12;30;45;3;2448131365119;PROBLEMS;0 - 9
IArt9179;15;30;17;0;35;2;2448131365119;PROBLEMS;0 - 9
IArt9179;8;30;10;0;36;3;2448131365119;PROBLEMS;0 - 9
ICSE8179;10;0;11;30;40;6;2448131365119;PROBLEMS;0 - 9
MO3179;13;30;14;30;30;4;2448131365119;PROBLEMS;0 - 9
MO3179;17;0;18;0;77;6;2448131365119;PROBLEMS;0 - 9
MO3179;18;0;19;0;3;6;2448131365119;PROBLEMS;0 - 9
PEst31179;12;30;14;0;35;5;2448131365119;PROBLEMS;0 - 9
PRI25179;11;30;13;0;27;4;2448131365119;LABORATORIAL;0 - 9
PRI25179;11;30;13;0;27;4;2448131365119;LABORATORIAL;0 - 9
PRI25179;11;0;12;30;21;5;2448131365119;LABORATORIAL;0 - 9
PRI25179;11;0;12;30;21;5;2448131365119;LABORATORIAL;0 - 9
SD9179;8;30;10;0;40;5;2448131365119;PROBLEMS;0 - 9
SD9179;14;0;15;30;41;3;2448131365119;PROBLEMS;0 - 9
SD9179;10;0;11;30;36;4;2448131365119;PROBLEMS;0 - 9
ACED21179;16;30;18;0;45;2;2448131365126;PROBLEMS;0 - 13
ACED21179;14;30;16;0;48;3;2448131365126;PROBLEMS;0 - 13
CDI54179;9;0;10;30;38;2;2448131365126;PROBLEMS;0 - 13
CDI54179;10;30;12;0;38;2;2448131365126;PROBLEMS;0 - 13
CDI54179;8;30;10;0;35;4;2448131365126;PROBLEMS;0 - 13
CDI54179;10;30;12;0;35;5;2448131365126;PROBLEMS;0 - 13
CDI54179;12;30;14;0;0;6;2448131365126;PROBLEMS;0 - 13
DDJ5179;9;30;11;0;43;3;2448131365126;TEORICA;0 - 13
EEQ5179;10;0;11;30;35;4;2448131365126;PROBLEMS;0 - 13
GP5179;16;30;18;0;35;4;2448131365126;PROBLEMS;0 - 13
VI25;14;0;15;30;40;2;2448131365126;TEORICA;0 - 13
AL29179;10;0;11;30;38;3;2448131365127;PROBLEMS;0 - 15
AL29179;8;30;10;0;25;4;2448131365127;PROBLEMS;0 - 15
CAI5179;10;30;12;0;14;6;2448131365127;PROBLEMS;0 - 15
CAI5179;9;0;10;30;14;6;2448131365127;TEORICA;0 - 15
CIO5179;16;30;18;0;35;3;2448131365127;PROBLEMS;0 - 15
EEM5179;11;0;11;30;35;2;2448131365127;LABORATORIAL;0 - 15
EEM5179;10;0;11;0;36;2;2448131365127;PROBLEMS;0 - 15
GCA5179;16;30;18;0;42;5;2448131365127;PROBLEMS;0 - 15
IPMec5179;17;30;18;0;35;2;2448131365127;LABORATORIAL;0 - 15
IPMec5179;16;30;17;30;35;2;2448131365127;PROBLEMS;0 - 15
LN35179;13;30;15;0;20;2;2448131365127;LABORATORIAL;0 - 15
MADec13179;16;30;18;0;42;4;2448131365127;PROBLEMS;0 - 15
MT5179;14;0;15;30;11;6;2448131365127;TEORICA;0 - 15
SEmb5179;11;30;13;0;16;5;2448131365127;TEORICA;0 - 15
CDI54179;10;30;12;0;34;2;2448131365128;PROBLEMS;0 - 17
Con5179;16;30;18;0;35;2;2448131365128;PROBLEMS;0 - 17
Con5179;12;30;14;0;35;4;2448131365128;PROBLEMS;0 - 17
DDRS5179;13;30;15;0;25;3;2448131365128;TEORICA;0 - 17
DDRS5179;14;0;15;30;25;5;2448131365128;TEORICA;0 - 17
EEM5179;12;30;13;0;32;6;2448131365128;LABORATORIAL;0 - 17
EEM5179;11;30;12;30;35;6;2448131365128;PROBLEMS;0 - 17
EO23179;17;0;18;0;41;6;2448131365128;PROBLEMS;0 - 17
ETraf5179;10;0;11;30;20;4;2448131365128;TEORICA;0 - 17
GCA5179;16;30;18;0;45;3;2448131365128;PROBLEMS;0 - 17
Ges11179;8;30;10;0;35;3;2448131365128;PROBLEMS;0 - 17
GP5179;15;0;16;30;42;6;2448131365128;PROBLEMS;0 - 17
MADec13179;16;30;18;0;40;5;2448131365128;PROBLEMS;0 - 17
PCO9;12;0;13;30;35;3;2448131365128;TEORICA;0 - 17
AID225179;15;30;17;0;31;2;2448131365129;TEORICA;0 - 19
AID225179;14;30;16;0;31;5;2448131365129;TEORICA;0 - 19
