acronym_1;hourS;minS;hourE;minE;currentC;day;roomID;type_1;nameR
AL1625179;16;30;18;0;18;2;2448131361185;PROBLEMS;E5
ANav25179;12;30;13;0;31;2;2448131361185;LABORATORIAL;E5
ANav25179;13;0;14;30;31;2;2448131361185;TEORICA;E5
ECTec25179;14;0;15;30;58;2;2448131361580;TEORICA;VA1
FT35179;16;30;18;0;10;2;2448131361580;TEORICA;VA1
GD25179;12;30;13;30;46;2;2448131361580;TUTORIAL_ORIENTATION;VA1
Ges55179;15;30;16;30;32;2;2448131361580;TEORICA;VA1
PA2225179;9;0;10;0;30;2;2448131361580;SEMINARY;VA1
Pro225179;11;0;12;30;67;2;2448131361580;TEORICA;VA1
ACE25179;11;0;12;0;54;2;2448131361583;TEORICA;VA2
EB225179;14;0;15;30;68;2;2448131361583;TEORICA;VA2
EB225179;15;30;17;0;18;2;2448131361583;TEORICA;VA2
LOO25179;17;0;19;0;54;2;2448131361583;TEORICA;VA2
MApl25179;12;0;13;30;90;2;2448131361583;TEORICA;VA2
PA2225179;9;0;10;0;16;2;2448131361583;SEMINARY;VA2
ACED1725179;13;0;14;0;111;2;2448131361602;TEORICA;VA3
GPI5179;14;0;15;30;77;2;2448131361602;TEORICA;VA3
Qui425179;10;0;11;30;96;2;2448131361602;TEORICA;VA3
Qui425179;11;30;13;0;114;2;2448131361602;TEORICA;VA3
TCE25179;15;30;17;0;86;2;2448131361602;TEORICA;VA3
Top25179;17;0;18;0;88;2;2448131361602;TEORICA;VA3
CDI1325179;13;0;14;0;61;2;2448131361604;TEORICA;VA4
CEle25179;16;0;17;30;10;2;2448131361604;TEORICA;VA4
CP25179;10;0;11;30;133;2;2448131361604;TEORICA;VA4
CP25179;11;30;13;0;100;2;2448131361604;TEORICA;VA4
Mat25179;8;30;10;0;61;2;2448131361604;TEORICA;VA4
Sat25179;14;30;16;0;133;2;2448131361604;TEORICA;VA4
DEES45179;8;0;9;0;40;2;2448131361607;TEORICA;VA5
FCon25179;10;0;11;0;31;2;2448131361607;TEORICA;VA5
FCon25179;11;0;12;0;85;2;2448131361607;TEORICA;VA5
IC25179;13;0;14;30;117;2;2448131361607;TEORICA;VA5
SIDS9;18;0;20;0;29;2;2448131361607;SEMINARY;VA5
TEM25179;15;30;17;0;104;2;2448131361607;TEORICA;VA5
EB225179;14;0;15;30;44;2;2448131361622;TEORICA;VA6
EB225179;15;30;17;0;68;2;2448131361622;TEORICA;VA6
EMet25179;13;0;14;0;42;2;2448131361622;TEORICA;VA6
ERen25179;8;0;10;0;69;2;2448131361622;TEORICA;VA6
QSAC225179;11;30;13;0;27;2;2448131361622;TEORICA;VA6
R-MAD;17;0;18;30;0;2;2448131361639;TEORICA;V0.15
EEdif;18;0;20;0;0;2;2448131361641;TEORICA;V0.14
RER9;20;0;22;0;0;2;2448131361641;TEORICA;V0.14
MAS35179;13;30;15;0;8;2;2448131361643;PROBLEMS;V0.02
TCE25179;17;0;18;30;10;2;2448131361643;PROBLEMS;V0.02
TMCon25179;8;30;10;30;0;2;2448131361643;TEORICA;V0.02
CITra;17;0;20;0;12;2;2448131361644;PROBLEMS;V0.03
DSR25179;11;0;13;0;30;2;2448131361644;TEORICA;V0.03
PPAS25179;9;0;11;0;26;2;2448131361644;TEORICA;V0.03
RM-I;13;30;15;0;60;2;2448131361644;PROBLEMS;V0.03
CDI925179;9;30;11;0;40;2;2448131361645;PROBLEMS;V0.04
EEdi;13;0;15;0;34;2;2448131361645;TEORICA;V0.04
MC625179;11;0;12;30;28;2;2448131361645;TEORICA;V0.04
Mat25179;11;0;12;30;26;2;2448131361663;PROBLEMS;V0.10
CDI3325179;16;30;18;0;33;2;2448131361679;PROBLEMS;V1.23
MC525179;14;0;15;30;62;2;2448131361679;TEORICA;V1.23
MEO225179;12;30;14;0;26;2;2448131361679;TEORICA;V1.23
AL1225179;16;0;17;30;36;2;2448131361680;PROBLEMS;V1.24
EEco75179;9;30;11;0;14;2;2448131361680;PROBLEMS;V1.24
Hidroe25179;8;0;9;30;16;2;2448131361680;TEORICA;V1.24
MAmb;11;0;12;30;20;2;2448131361680;TEORICA;V1.24
TCE25179;12;30;14;0;39;2;2448131361680;PROBLEMS;V1.24
ACE25179;9;30;11;0;34;2;2448131361681;PROBLEMS;V1.25
CDI925179;11;0;12;30;41;2;2448131361681;PROBLEMS;V1.25
CTM25179;12;30;13;0;34;2;2448131361681;LABORATORIAL;V1.25
EG25179;16;30;18;0;14;2;2448131361681;TEORICA;V1.25
ER25179;14;30;16;0;42;2;2448131361681;PROBLEMS;V1.25
PME25179;13;0;14;30;21;2;2448131361681;TEORICA;V1.25
CTM25179;10;0;11;0;36;2;2448131361682;PROBLEMS;V1.26
EVoo25179;16;0;17;30;34;2;2448131361682;PROBLEMS;V1.26
PCC;11;30;13;30;7;2;2448131361682;TEORICA;V1.26
VC25179;14;0;15;30;27;2;2448131361682;PROBLEMS;V1.26
ACED425179;13;0;14;30;49;2;2448131361683;PROBLEMS;V1.31
HOM25179;8;30;10;0;23;2;2448131361683;TEORICA;V1.31
MC245179;15;0;16;30;51;2;2448131361683;TEORICA;V1.31
SADad25179;10;0;12;0;26;2;2448131361683;TEORICA;V1.31
